IROWID,iVehicleID,vLat,vLong,vAccuracy,vDirection,dSpeed,vUpdateReason,dtLastUpdated,dtDeviceTime,vVehDirection
8136304,684,38.586094,-92.199776,10,294.78,58.15,APC,54:29.7,7/3/2024 6:54:25,NW
8136305,684,38.586266,-92.200287,10,293.3,57.97,APC,54:29.7,7/3/2024 6:54:28,NW
8136306,684,38.586456,-92.200752,10,297.6,53.34,APC,54:32.4,7/3/2024 6:54:31,NW
8136326,684,38.586639,-92.201172,10,299.14,49.63,APC,54:38.7,7/3/2024 6:54:34,NW
8136327,684,38.58683,-92.201591,10,300.25,50.37,APC,54:38.7,7/3/2024 6:54:37,NW
8136337,684,38.587006,-92.20195,10,302.1,38.15,APC,54:44.7,7/3/2024 6:54:40,NW
8136338,684,38.587078,-92.20211,10,299.93,10.19,APC,54:44.8,7/3/2024 6:54:43,NW
8136355,684,38.587105,-92.202156,10,306.9,2.78,APC,54:50.8,7/3/2024 6:54:46,NW
8136356,684,38.587105,-92.202164,10,270,0,APC,54:50.9,7/3/2024 6:54:49,W
8136372,684,38.587109,-92.202179,10,288.84,0,APC,54:58.7,7/3/2024 6:54:52,W
8136373,684,38.587105,-92.202179,10,180,0,APC,54:58.7,7/3/2024 6:54:55,S
8136386,684,38.587105,-92.202187,10,270,0,APC,55:04.7,7/3/2024 6:54:58,W
8136387,684,38.587105,-92.202187,10,0,0,APC,55:04.7,7/3/2024 6:55:01,W
8136406,684,38.587105,-92.202187,10,0,0,APC,55:10.7,7/3/2024 6:55:04,W
8136407,684,38.587105,-92.202187,10,0,0,APC,55:10.7,7/3/2024 6:55:07,W
8136408,684,38.587105,-92.202187,10,0,0,APC,55:11.5,7/3/2024 6:55:10,W
8136420,684,38.587105,-92.202187,10,0,0,APC,55:18.7,7/3/2024 6:55:13,W
8136421,684,38.587105,-92.202187,10,0,0,APC,55:18.7,7/3/2024 6:55:16,W
8136433,684,38.587109,-92.202187,10,0,2.78,APC,55:24.7,7/3/2024 6:55:19,W
8136434,684,38.587173,-92.202324,10,300.86,24.63,APC,55:24.7,7/3/2024 6:55:22,NW
8136446,684,38.58728,-92.202568,10,299.29,32.78,APC,55:30.7,7/3/2024 6:55:25,NW
8136447,684,38.587402,-92.202881,10,296.5,38.89,APC,55:30.7,7/3/2024 6:55:28,NW
8136461,684,38.587513,-92.203262,10,290.44,45.74,APC,55:36.8,7/3/2024 6:55:31,W
8136462,684,38.587631,-92.20372,10,288.24,52.41,APC,55:36.8,7/3/2024 6:55:34,W
8136463,684,38.587765,-92.204231,10,288.55,57.97,APC,55:38.5,7/3/2024 6:55:37,W
8136475,684,38.587898,-92.204788,10,286.99,62.41,APC,55:44.8,7/3/2024 6:55:40,W
8136476,684,38.588032,-92.205338,10,287.31,61.49,APC,55:44.8,7/3/2024 6:55:43,W
8136485,684,38.588173,-92.205917,10,287.3,62.78,APC,55:50.8,7/3/2024 6:55:46,W
8136486,684,38.588318,-92.20649,10,287.94,63.15,APC,55:50.8,7/3/2024 6:55:49,W
8136513,684,38.588463,-92.207062,10,287.97,61.12,APC,55:56.7,7/3/2024 6:55:52,W
8136514,684,38.588593,-92.207581,10,287.77,56.67,APC,55:56.7,7/3/2024 6:55:55,W
8136523,684,38.588715,-92.208061,10,288.01,51.67,APC,56:04.8,7/3/2024 6:55:58,W
